DocType: Accounting Period,Period Name,期间名称
DocType: Appraisal Template Goal,KRA,KRA
DocType: Lead,Request Type,需求类型
DocType: Purpose of Travel,Purpose of Travel,出差目的
DocType: Payroll Period,Payroll Periods,工资期间
apps/erpnext/erpnext/hr/doctype/job_offer/job_offer.js +18,Make Employee,创建员工
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py +14,Broadcasting,广播
apps/erpnext/erpnext/config/accounts.py +351,Setup mode of POS (Online / Offline),POS（在线/离线）的设置模式
DocType: Manufacturing Settings,Disables creation of time logs against Work Orders. Operations shall not be tracked against Work Order,禁止根据工单创建时间日志。不得根据工作指令跟踪操作
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py +167,Execution,执行
apps/erpnext/erpnext/config/manufacturing.py +62,Details of the operations carried out.,生产操作信息。
DocType: Asset Maintenance Log,Maintenance Status,维护状态
apps/erpnext/erpnext/non_profit/doctype/member/member_dashboard.py +10,Membership Details,会员资格
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py +56,{0} {1}: Supplier is required against Payable account {2},{0} {1}：供应商对于应付账款科目来说是必输的{2}
apps/erpnext/erpnext/config/selling.py +52,Items and Pricing,物料和定价
apps/erpnext/erpnext/projects/doctype/project/project_dashboard.html +2,Total hours: {0},总时间：{0}
apps/erpnext/erpnext/accounts/report/trial_balance/trial_balance.py +43,From Date should be within the Fiscal Year. Assuming From Date = {0},起始日期应该在财年之内。财年起始日是{0}
DocType: Patient Medical Record,HLC-PMR-.YYYY.-,HLC-PMR-.YYYY.-
DocType: Drug Prescription,Interval,间隔
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py +234,Preference,偏爱
DocType: Supplier,Individual,个人
DocType: Academic Term,Academics User,学术界用户
DocType: Cheque Print Template,Amount In Figure,量图
DocType: Loan Application,Loan Info,贷款信息
apps/erpnext/erpnext/config/maintenance.py +12,Plan for maintenance visits.,规划维护访问。
DocType: Supplier Scorecard Period,Supplier Scorecard Period,供应商记分卡期
DocType: Support Settings,Search APIs,搜索API
DocType: Share Transfer,Share Transfer,股份转让
,Expiring Memberships,即将到期的会员
DocType: POS Profile,Customer Groups,客户群
apps/erpnext/erpnext/public/js/financial_statements.js +53,Financial Statements,财务报表
DocType: Guardian,Students,学生们
apps/erpnext/erpnext/config/selling.py +91,Rules for applying pricing and discount.,规则适用的定价和折扣。
DocType: Daily Work Summary,Daily Work Summary Group,每日工作总结组
DocType: Practitioner Schedule,Time Slots,时隙
apps/erpnext/erpnext/stock/doctype/price_list/price_list.py +14,Price List must be applicable for Buying or Selling,房产价格必须适用于采购或出售
DocType: Shift Assignment,Shift Request,工作班别申请
apps/erpnext/erpnext/selling/doctype/installation_note/installation_note.py +79,Installation date cannot be before delivery date for Item {0},物料{0}的安装日期不能早于交付日期
DocType: Pricing Rule,Discount on Price List Rate (%),基于价格清单价格的折扣（％）
apps/erpnext/erpnext/public/js/utils/item_quick_entry.js +112,Item Template,物料模板
DocType: Job Offer,Select Terms and Conditions,选择条款和条件
apps/erpnext/erpnext/stock/report/stock_balance/stock_balance.py +87,Out Value,输出值
DocType: Bank Statement Settings Item,Bank Statement Settings Item,银行对账单设置项
DocType: Woocommerce Settings,Woocommerce Settings,Woocommerce设置
DocType: Production Plan,Sales Orders,销售订单
apps/erpnext/erpnext/selling/doctype/customer/customer.py +203,Multiple Loyalty Program found for the Customer. Please select manually.,为客户找到多个忠诚度计划。请手动选择。
DocType: Purchase Taxes and Charges,Valuation,库存评估价
apps/erpnext/erpnext/selling/page/point_of_sale/point_of_sale.js +436,Set as Default,设置为默认
,Purchase Order Trends,采购订单趋势
apps/erpnext/erpnext/utilities/user_progress.py +78,Go to Customers,转到客户
DocType: Hotel Room Reservation,Late Checkin,延迟入住
apps/erpnext/erpnext/templates/emails/request_for_quotation.html +7,The request for quotation can be accessed by clicking on the following link,报价请求可以通过点击以下链接进行访问
DocType: SG Creation Tool Course,SG Creation Tool Course,SG创建工具课程
DocType: Bank Statement Transaction Invoice Item,Payment Description,付款说明
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py +353,Insufficient Stock,库存不足
DocType: Manufacturing Settings,Disable Capacity Planning and Time Tracking,禁用容量规划和时间跟踪
DocType: Email Digest,New Sales Orders,新建销售订单
DocType: Bank Account,Bank Account,银行科目
DocType: Travel Itinerary,Check-out Date,离开日期
DocType: Leave Type,Allow Negative Balance,允许负余额
apps/erpnext/erpnext/projects/doctype/project_type/project_type.py +13,You cannot delete Project Type 'External',您不能删除“外部”类型的项目
apps/erpnext/erpnext/public/js/utils.js +254,Select Alternate Item,选择替代物料
DocType: Employee,Create User,创建用户
DocType: Selling Settings,Default Territory,默认地区
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py +53,Television,电视
DocType: Work Order Operation,Updated via 'Time Log',通过“时间日志”更新
apps/erpnext/erpnext/accounts/doctype/bank_guarantee/bank_guarantee.py +13,Select the customer or supplier.,选择客户或供应商。
apps/erpnext/erpnext/controllers/taxes_and_totals.py +445,Advance amount cannot be greater than {0} {1},预付金额不能大于{0} {1}
apps/erpnext/erpnext/healthcare/doctype/practitioner_schedule/practitioner_schedule.js +55,"Time slot skiped, the slot {0} to {1} overlap exisiting slot {2} to {3}",时隙滑动，时隙{0}到{1}与现有时隙{2}重叠到{3}
DocType: Naming Series,Series List for this Transaction,此交易的系列列表
DocType: Company,Enable Perpetual Inventory,启用永续库存功能（每次库存移动实时生成会计凭证）
DocType: Bank Guarantee,Charges Incurred,产生的费用
DocType: Company,Default Payroll Payable Account,默认应付职工薪资科目
apps/erpnext/erpnext/education/doctype/student_group/student_group.js +51,Update Email Group,更新电子邮件组
DocType: Sales Invoice,Is Opening Entry,是否期初分录
DocType: Lab Test Template,"If unchecked, the item wont be appear in Sales Invoice, but can be used in group test creation. ",如果不勾选，该物料不会出现在销售发票中，但可用于创建组测试。
DocType: Customer Group,Mention if non-standard receivable account applicable,如果不规范应收账款适用的话应提及
DocType: Course Schedule,Instructor Name,导师姓名
DocType: Company,Arrear Component,欠费组件
DocType: Supplier Scorecard,Criteria Setup,条件设置
apps/erpnext/erpnext/manufacturing/doctype/production_order/production_order.py +199,For Warehouse is required before Submit,提交前必须选择仓库
apps/erpnext/erpnext/accounts/print_format/payment_receipt_voucher/payment_receipt_voucher.html +8,Received On,收到的
DocType: Codification Table,Medical Code,医疗法
apps/erpnext/erpnext/config/integrations.py +37,Connect Amazon with ERPNext,将Amazon与ERPNext连接起来
apps/erpnext/erpnext/manufacturing/doctype/production_planning_tool/production_planning_tool.py +20,Please enter Company,请输入公司
DocType: Delivery Note Item,Against Sales Invoice Item,针对的销售发票项
DocType: Agriculture Analysis Criteria,Linked Doctype,链接的文档类型
apps/erpnext/erpnext/accounts/report/cash_flow/cash_flow.py +98,Net Cash from Financing,从融资产生的净现金
apps/erpnext/erpnext/accounts/page/pos/pos.js +2387,"LocalStorage is full , did not save",本地存储空间的满了，不要保存
DocType: Lead,Address & Contact,地址及联系方式
DocType: Leave Allocation,Add unused leaves from previous allocations,结转之前已分配未使用的休假
DocType: Sales Partner,Partner website,合作伙伴网站
DocType: Restaurant Order Entry,Add Item,新增
DocType: Party Tax Withholding Config,Party Tax Withholding Config,业务伙伴的预扣税配置
DocType: Lab Test,Custom Result,自定义结果
DocType: Delivery Stop,Contact Name,联系人姓名
DocType: Course Assessment Criteria,Course Assessment Criteria,课程评价标准
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.html +31,Tax Id: ,纳税登记号：
apps/erpnext/erpnext/education/doctype/student_report_generation_tool/student_report_generation_tool.html +216,Student ID: ,学生卡：
DocType: POS Customer Group,POS Customer Group,销售终端客户群
DocType: Healthcare Practitioner,Practitioner Schedules,从业者时间表
DocType: Cheque Print Template,Line spacing for amount in words,行距文字量
DocType: Vehicle,Additional Details,额外细节
apps/erpnext/erpnext/templates/generators/bom.html +85,No description given,未提供描述
apps/erpnext/erpnext/config/buying.py +13,Request for purchase.,请求您的报价。
DocType: POS Closing Voucher Details,Collected Amount,收集金额
DocType: Lab Test,Submitted Date,提交日期
apps/erpnext/erpnext/projects/doctype/project/project_dashboard.py +6,This is based on the Time Sheets created against this project,基于该工程产生的时间表
,Open Work Orders,打开工单
DocType: Healthcare Practitioner,Out Patient Consulting Charge Item,不住院患者咨询费用项目
DocType: Payment Term,Credit Months,信贷月份
apps/erpnext/erpnext/hr/doctype/salary_slip/salary_slip.py +494,Net Pay cannot be less than 0,净工资不能低于0
DocType: Contract,Fulfilled,达到
DocType: Inpatient Record,Discharge Scheduled,预定的卸货
apps/erpnext/erpnext/hr/doctype/employee/employee.py +138,Relieving Date must be greater than Date of Joining,离职日期必须晚于入职日期
DocType: POS Closing Voucher,Cashier,出纳员
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py +221,Leaves per Year,每年休假（天）
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py +162,Row {0}: Please check 'Is Advance' against Account {1} if this is an advance entry.,行{0}：如果预付凭证，请为科目{1}勾选'预付？'。
apps/erpnext/erpnext/stock/utils.py +243,Warehouse {0} does not belong to company {1},仓库{0}不属于公司{1}
DocType: Email Digest,Profit & Loss,利润损失
apps/erpnext/erpnext/utilities/user_progress.py +147,Litre,升
DocType: Task,Total Costing Amount (via Time Sheet),总成本计算量（通过工时单）
apps/erpnext/erpnext/education/doctype/fee_schedule/fee_schedule.py +76,Please setup Students under Student Groups,请设置学生组的学生
apps/erpnext/erpnext/manufacturing/doctype/job_card/job_card.js +31,Complete Job,完成工作
DocType: Item Website Specification,Item Website Specification,网站上显示的物料详细规格
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py +543,Leave Blocked,已禁止请假
apps/erpnext/erpnext/stock/doctype/item/item.py +805,Item {0} has reached its end of life on {1},物料{0}已经到达寿命终止日期{1}
apps/erpnext/erpnext/hr/doctype/expense_claim/expense_claim.js +82,Bank Entries,银行条目
DocType: Customer,Is Internal Customer,是内部客户
DocType: Crop,Annual,全年
apps/erpnext/erpnext/accounts/doctype/loyalty_program/loyalty_program.js +27,"If Auto Opt In is checked, then the customers will be automatically linked with the concerned Loyalty Program (on save)",如果选中自动选择，则客户将自动与相关的忠诚度计划链接（保存时）
DocType: Stock Reconciliation Item,Stock Reconciliation Item,库存盘点物料
DocType: Stock Entry,Sales Invoice No,销售发票编号
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py +145,Supply Type,供应类型
DocType: Material Request Item,Min Order Qty,最小订货量
DocType: Student Group Creation Tool Course,Student Group Creation Tool Course,学生组创建工具课程
DocType: Lead,Do Not Contact,请勿打扰
apps/erpnext/erpnext/utilities/user_progress.py +210,People who teach at your organisation,谁在您的组织教人
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py +123,Software Developer,软件开发人员
DocType: Item,Minimum Order Qty,最小起订量
DocType: Supplier,Supplier Type,供应商类型
DocType: Course Scheduling Tool,Course Start Date,课程开始日期
,Student Batch-Wise Attendance,学生按批考勤
DocType: POS Profile,Allow user to edit Rate,允许用户编辑级别
DocType: Item,Publish in Hub,在集散中心发布
DocType: Student Admission,Student Admission,学生入学
,Terretory,区域
apps/erpnext/erpnext/stock/doctype/item/item.py +827,Item {0} is cancelled,物料{0}已取消
apps/erpnext/erpnext/assets/doctype/asset/asset.py +215,Depreciation Row {0}: Depreciation Start Date is entered as past date,折旧行{0}：折旧开始日期作为过去的日期输入
DocType: Contract Template,Fulfilment Terms and Conditions,履行条款和条件
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.js +1130,Material Request,材料申请
DocType: Bank Reconciliation,Update Clearance Date,更新清算日期
,GSTR-2,GSTR-2
DocType: Item,Purchase Details,采购信息
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py +490,Item {0} not found in 'Raw Materials Supplied' table in Purchase Order {1},物料{0}未定义在采购订单{1}发给供应商的原材料清单中
